MCC	MNC	Brand	Operator
206	06	Lycamobile	Lycamobile sprl
206	07	Vectone Mobile	Mundio Mobile Belgium nv
206	08		Nethys
206	09	Voxbone	Voxbone mobile
206	10	Orange	Orange S.A.
206	15		Elephant Talk Communications Schweiz GmbH
206	16		NextGen Mobile Ltd.
206	20	Base	Telenet
206	25		Voyacom SPRL
206	28		BICS
206	30		Unleashed NV
206	33		Ericsson NV
206	40	JOIN	JOIN Experience (Belgium)
206	50		IP Nexia
702	67	DigiCell	Belize Telemedia Limited (BTL)
702	68	INTELCO	International Telecommunications Ltd.
702	69	SMART	Speednet Communications Limited
702	99	SMART	Speednet Communications Limited
616	01	Libercom	Benin Telecoms Mobile
616	02	Moov	Telecel Benin
616	03	MTN	Spacetel Benin
616	04	BBCOM	Bell Benin Communications
616	05	Glo	Glo Communication Benin
310	59	Cellular One	
338	050	Digicel Bermuda	
350	000	CellOne	Bermuda Digital Communications Ltd.
350	01	Digicel Bermuda	Telecommunications (Bermuda & West Indies) Ltd
350	02	Mobility	M3 Wireless
350	05		Telecom Networks
350	11		Deltronics
402	11	B-Mobile	B-Mobile / Bhutan Telecom Ltd.
402	77	TashiCell	Tashi InfoComm Limited
736	01	Viva	Nuevatel PCS De Bolivia SA
736	02	Entel	Entel SA
736	03	Tigo	Telefónica Celular De Bolivia S.A
218	03	HT-ERONET	Public Enterprise Croatian Telecom Ltd.
218	05	m:tel BiH	RS Telecommunications JSC Banja Luka
218	90	BH Mobile	BH Telecom
652	01	Mascom	Mascom Wireless (Pty) Limited
652	02	Orange	Orange (Botswana) Pty Limited
652	04	BTC Mobile	Botswana Telecommunications Corporation
724	00	Nextel	NII Holdings, Inc.
724	01		SISTEER DO BRASIL TELECOMUNICAÇÔES
724	02	TIM	Telecom Italia Mobile
724	03	TIM	Telecom Italia Mobile
724	04	TIM	Telecom Italia Mobile
724	05	Claro	Claro
724	06	Vivo	Vivo S.A.
724	10	Vivo	Vivo S.A.
724	11	Vivo	Vivo S.A.
