310440	dobson cellular systems
311140	cross wireless telephone co.
40437	aircel
405038	tata docomo
405039	tata docomo
405030	tata docomo
405031	tata docomo
405032	tata docomo
405033	tata docomo
405034	tata / karnataka
405035	tata docomo
405036	tata docomo
405037	tata docomo
64118	suretelecom uganda ltd
64114	orange
64116	simbanet uganda limited
64111	uganda telecom ltd.
64110	mtn ltd.
41820	zain/atheer/orascom
310140	gta wireless
36233	wicc n.v.
36231	eutel n.v.
42021	saudi railways gsm
46011	china telecom
64601	airtel/madacom
64603	sacel
64602	orange/soci
64604	telma
63909	homeland media group limited
63908	sema mobile services limited
63907	orange
63906	finserve africa limited
63905	econet wireless
63904	mobile pay kenya limited
63903	airtel/zain/celtel ltd.
63902	safaricom ltd.
63901	safaricom limited
312960	m&a technology, inc.
20887	régie autonome des transports parisiens
20886	nomotech
45411	china-hongkong telecom ltd (chktl)
732130	avantel sas
62501	cv movel
62502	t+ telecom
20889	virgin mobile/omer
20888	bouygues telecom
65516	phoenix system integration (pty) ltd
65517	sishen iron ore company (ltd) pty
65514	neotel pty ltd
310034	airpeak
65512	mtn
310032	it&e; overseas
65510	mtn
65511	south african police service gauteng
65574	wireless business solutions (pty) ltd
21604	invitech solutions
405819	uninor
21602	mvm net ltd.
21603	digi telecommunication ltd.
342050	digicel
21601	pannon/telenor
36302	digicel
36301	setar gsm
52002	cat telecom
46656	international telecom co. ltd (fitel)
26039	voxbone sa
26034	t-mobile/era
26035	pkp polskie linie kolejowe s.a.
26036	mundio mobile sp. z o.o.
26037	nextgen mobile ltd
26030	grandtel sp. z o.o.
26031	phone it sp. z o.o.
311810	bluegrass wireless llc
26033	truphone poland sp. z o.o.
42800	skytel co. ltd
22801	swisscom
313260	expeto wireless inc.
22803	salt/orange
22802	tdc sunrise
22805	comfone ag
22807	tdc sunrise
22806	sbb ag
22809	comfone ag
22808	tdc sunrise
310290	nep cellcorp inc.
99501	sure (diego garcia) ltd
28411	bulsatcom
36010	cingular
302630	bell aliant
41220	roshan/tdca
54411	blue sky communications
346140	lime / cable & wirel.
90104	unassigned
90107	unassigned
90106	thuraya satellite telecommunications company
90101	ico satellite management
90103	iridium
90102	unassigned
310850	aeris comm. inc.
40177	tele2/neo/mts
722040	te.sa.m argentina s.a.
90109	unassigned
90108	unassigned
20469	kpn telecom b.v.
20468	unify mobile
29370	telemach/tusmobil/vega
20461	bodytrace netherlands b.v.
20460	nextgen mobile ltd
20462	voxbone mobile
20465	agms netherlands b.v.
20464	zetacom b.v.
20467	koning en hartman b.v.
20466	utility connect b.v.
21426	lleida
21427	truphone
21424	eroski móvil españa
21425	lycamobile sl
21422	digi spain telecom sl
21423	lycamobile sl
21420	fonyou wireless sl
21421	jazz telecom sau
21428	consorcio de telecomunicaciones avanzadas, s.a.
21429	neo-sky 2002, s.a.
90188	un office for the coordination of humanitarian affairs (ocha)
311540	proximiti mobility inc.
310990	e.n.m.r. telephone coop.
27811	yom ltd.
313080	speedwavz llp
26812	infraestruturas de portugal, s.a.
26813	g9telecom, s.a.
26811	compatel, limited
63301	c&w;
63302	smartcom
44144	ntt docomo
29577	alpmobile/tele2
310700	cross valliant cellular partnership
40555	airtel
40554	airtel
40553	airtel
40552	airtel
40551	airtel
738002	guyana telephone & telegraph co.
738003	quark communications inc.
47202	ooredo/wataniya
47201	dhiraagu/c&w;
312560	nhlt inc.
342600	lime
27601	amc/cosmote
27602	vodafone
27603	eagle mobile
27604	plus communication sh.a
334020	telcel/america movil
405858	jio
405859	jio
312360	wes-tex telecommunications, ltd.
405852	idea
405853	idea
311490	sprint spectrum
405851	idea
405856	jio
405857	jio
405854	jio
405855	jio
313370	red truck wireless, llc
40422	idea cellular ltd.
40421	mumbai
40420	vodafone india
40427	vodafone india
40425	aircel
40424	idea cellular ltd.
40429	aircel
40428	aircel
310630	agri-valley communications
302131	xplornet communications
348570	caribbean cellular
405862	jio
64905	demshi investments cc
43211	mci/tci
43210	samantel mobile
312770	verizon wireless
52801	telekom brunei bhd (telbru)
72408	tim
43214	tkc/kfzo
43219	mobile telecommunications company of esfahan jv-pjs (mtce)
72405	claro/albra/america movil
72406	vivo s.a./telemig
72407	ctbc/triangulo
72400	nextel (telet)
72401	vivo s.a./telemig
72402	tim
72403	tim
311030	americell pa 3 partnership
23437	synectiv ltd.
310520	verisign
35850	digicel (st lucia) limited
22248	telecom italia mobile spa
22244	wind (blu) -
22243	telecom italia mobile spa
25044	stavtelesot
311150	wilkes cellular
42901	nt mobile / namaste
405027	tata docomo
405026	tata docomo
405025	tata docomo
310450	northeast colorado cellular inc.
50527	nexium telecommunications
23866	tt-netværket p/s
405029	tata docomo
50526	dialogue communications pty ltd
24605	lietuvos geležinkeliai (lithuanian railways)
27411	nova
24607	compatel ltd.
24606	uab mediafon
24601	omnitel
50525	pilbara iron company services pty ltd
24603	tele2
24602	bite
60803	expresso/sudatel
60802	tigo/sentel gsm
60801	orange/sonatel
24609	interactive digital media gmbh
24608	lietuvos radijo ir televizijos centras
64901	mtc
73403	digitel c.a.
64106	afrimax uganda
64104	tangerine uganda limited
64101	airtel/celtel
40001	azercell telekom b.m.
40003	caspian american telecommunications llc (catel)
40002	j.v. bakcell gsm 2000
63910	jamii telecommunications limited
63911	wiafrica kenya limited
312910	east kentucky network, llc
40004	azerfon.
20890	images & réseaux
20891	orange
20892	association plate-forme telecom
20893	thales communications & security sas
20894	halys
20895	orange s.a.
732123	movistar
20897	thales communications & security sas
20898	société air france
311930	syringa wireless
40006	nakhtel llc
65521	cape town metropolitan
65527	a to z vaal industrial supplies pty ltd
25550	umc/mts
65524	smsportal (pty) ltd.
21630	t-mobile/magyar
302530	keewaytinook okimakanak mobile
310280	t-mobile
61820	libtelco
52020	aces thailand - aces regional services co ltd
310020	union telephone co.
52023	digital phone co.
52025	true corporation
312820	santel communications cooperative, inc.
46668	aces taiwan - aces taiwan telecommunications co ltd
26041	ez phone mobile sp. z o.o.
26040	interactive digital media gmbh
26043	smart idea international sp. z o.o.
